name,address,latitude,longitude,price,google_maps_url,types
West Suburban YMCA,"276 Church St, Newton, MA 02458, USA",42.3546594,-71.1914187,community center,https://maps.google.com/?cid=16397991023265139072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"non_profit_organization, fitness_center, sports_complex, summer_camp_organizer, preschool, child_care_agency, gym, sports_activity_location, health, school, educational_institution, association_or_organization, service, point_of_interest, establishment"
CorePower Yoga - Seaport,"20 Bond Drive, Boston, MA 02210, USA",42.354006,-71.045931,$189,https://maps.google.com/?cid=10468254988229766879&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_complex, sports_school, health, sports_activity_location, point_of_interest, establishment"
F45 Training Boston Financial District,"99 Summer St, Boston, MA 02110, USA",42.3537434,-71.0582753,$170,https://maps.google.com/?cid=4344993629067084417&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, point_of_interest, health, establishment"
CorePower Yoga - Downtown Crossing,"18 Kingston St Suite L100, Boston, MA 02110, USA",42.353499,-71.0586299,$189,https://maps.google.com/?cid=1225033505322754690&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_complex, sports_school, health, sports_activity_location, point_of_interest, establishment"
Equinox Seaport,"27 Northern Ave, Boston, MA 02210, USA",42.3533219,-71.0476806,$275,https://maps.google.com/?cid=10113311421254629530&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, health, sports_activity_location, point_of_interest, establishment"
Equinox Sports Club Boston,"4 Avery St, Boston, MA 02111, USA",42.353014,-71.063256,$275,https://maps.google.com/?cid=8719284010747070826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, yoga_studio, fitness_center, sports_school, spa, sports_complex, sports_activity_location, point_of_interest, service, health, establishment"
F45 Training Allston,"89 Brighton Ave, Allston, MA 02134, USA",42.3529727,-71.129646,$170,https://maps.google.com/?cid=7004320130146363593&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, health, point_of_interest, establishment"
Commonwealth Sports Club,"1079 Commonwealth Ave, Boston, MA 02215, USA",42.3525311,-71.1243076,$275,https://maps.google.com/?cid=1255425054857940976&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, yoga_studio, fitness_center, swimming_pool, sports_coaching, sports_school, sports_complex, sports_activity_location, health, service, point_of_interest, establishment"
CorePower Yoga - Back Bay,"399 Boylston St, Boston, MA 02116, USA",42.3517658,-71.0720139,$189,https://maps.google.com/?cid=957555536461944755&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, sports_school, gym, sports_complex, sports_activity_location, point_of_interest, health, establishment"
CorePower Yoga - Comm Ave,"1119 Commonwealth Ave, Boston, MA 02215, USA",42.3516878,-71.1259786,$189,https://maps.google.com/?cid=13699345115571039127&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_school, sports_complex, sports_activity_location, health, point_of_interest, establishment"
